map_type,scale,universe_mode,algorithm,torch_count,optimal_torch_count,gap,coverage_rate,runtime_ms,greedy_iterations,prune_iterations,swap_attempts,swaps_performed,bfs_light_calls,num_candidates,universe_size
corridor,small,all_air,greedy,1,,,1.0,0.010576011845842004,1,,,,40,40,40
corridor,small,all_air,improve,1,,,1.0,0.014240009477362037,,0,15,1,40,40,40
rooms,small,all_air,exact,2,2,0.0,1.0,2.490942002623342,,,,,140,140,340
rooms,small,all_air,greedy,3,2,0.5,1.0,0.04421600897330791,3,,,,140,140,340
rooms,small,all_air,improve,3,2,0.5,1.0,0.03946801007259637,,0,86,3,140,140,340
cave,small,all_air,greedy,1,,,1.0,0.0052579998737201095,1,,,,34,34,34
cave,small,all_air,improve,1,,,1.0,0.007941998774185777,,0,2,1,34,34,34
corridor,medium,all_air,greedy,3,,,1.0,0.04986400017514825,3,,,,200,200,200
corridor,medium,all_air,improve,3,,,1.0,0.03831699723377824,,0,207,3,200,200,200
rooms,medium,all_air,greedy,9,,,1.0,0.9912750101648271,9,,,,892,892,1292
rooms,medium,all_air,improve,8,,,1.0,0.38536000647582114,,1,3203,8,892,892,1292
cave,medium,all_air,greedy,1,,,1.0,0.0019130093278363347,1,,,,1,1,1
cave,medium,all_air,improve,1,,,1.0,0.005987996701151133,,0,1,1,1,1,1
corridor,large,all_air,greedy,5,,,1.0,0.17526799638289958,5,,,,400,400,400
corridor,large,all_air,improve,5,,,1.0,0.10140999802388251,,0,809,5,400,400,400
rooms,large,all_air,greedy,21,,,1.0,8.473506008158438,21,,,,2046,2046,3196
rooms,large,all_air,improve,21,,,1.0,0.06515599670819938,,0,0,0,2046,2046,3196
cave,large,all_air,greedy,1,,,1.0,0.004045999958179891,1,,,,11,11,11
cave,large,all_air,improve,1,,,1.0,0.009072988177649677,,0,1,1,11,11,11
